Wall time,Step,Value
1638632057.1503098,137,0.9896160960197449
1638632153.0386512,275,0.9926786422729492
1638632251.4273634,413,0.9892761707305908
1638632351.3684385,551,0.9925417304039001
1638632449.4042144,689,0.9961330890655518
1638632548.8388276,827,0.9940922856330872
1638632646.9206524,965,0.9948962926864624
1638632746.8201294,1103,0.9963258504867554
1638632847.0231485,1241,0.9943473935127258
1638632946.0102348,1379,0.9960547685623169
1638633044.3715205,1517,0.9979313611984253
1638633143.0252326,1655,0.994961678981781
1638633244.3887115,1793,0.9952993392944336
1638633343.8550634,1931,0.9985177516937256
1638633441.7189,2069,0.9974298477172852
1638633540.3928604,2207,0.9991343021392822
1638633640.6715817,2345,0.9980807900428772
1638633739.4268296,2483,0.9986005425453186
1638633838.4843903,2621,0.9975953102111816
1638633937.9755952,2759,0.9992791414260864
