Wall time,Step,Value
1638748814.711494,137,0.4122347831726074
1638748919.1334352,275,0.4535059928894043
1638749037.0004733,413,1.2763172388076782
1638749139.7800713,551,0.5285713076591492
1638749246.7295651,689,0.4915880262851715
1638749356.506447,827,0.40471962094306946
1638749469.4469616,965,0.7105786204338074
1638749568.965308,1103,0.7224500775337219
1638749679.2593336,1241,0.6593489050865173
1638749796.847443,1379,0.5380204916000366
1638749904.4710658,1517,0.3283224105834961
1638750006.9741786,1655,0.4458780288696289
1638750107.1731052,1793,0.32282108068466187
1638750209.5390248,1931,0.3734891712665558
1638750316.3172936,2069,0.3257352113723755
1638750433.8626432,2207,0.2725939452648163
1638750535.618305,2345,0.2591550350189209
1638750639.4209502,2483,0.36680030822753906
1638750729.50207,2621,0.2856617271900177
1638750832.6905625,2759,0.31159377098083496
